"date","min","max","median"
"8/2/2022","7.4","24","16.43"
"8/3/2022","3.5","26.33","14"
"8/4/2022","9.33","38.72","17.5"
"8/5/2022","11","40.4","22"
"8/6/2022","9.67","38","18.67"
"8/7/2022","1.92","36","13.58"
"8/8/2022","3","31.17","13.33"
"8/9/2022","6","33.22","18.57"
"8/10/2022","4.75","28","9.43"
"8/11/2022","16.05","37.69","26"
"8/12/2022","8.74","40.86","30.44"
"8/13/2022","2.47","53.44","32.04"
"8/14/2022","4.44","46.25","17.13"
"8/15/2022","5.31","46.64","25.15"
"8/16/2022","10.25","51.38","25.33"
"8/17/2022","6","329.8","35.82"
"8/18/2022","3.25","123.67","26"
"8/19/2022","12.76","39","24.18"
"8/20/2022","4.26","38","28.75"
"8/21/2022","5.29","43.4","15.35"
"8/22/2022","3.27","90.7","13"
"8/23/2022","4.8","3345.2","16.16"
"8/24/2022","3","3401","12.11"
"8/25/2022","2","25","9.43"
"8/26/2022","4.5","33.71","10.74"
"8/27/2022","3.6","28.4","10.36"
"8/28/2022","3.93","26.35","10.54"
"8/29/2022","7.14","38.54","14.61"
"8/30/2022","5.75","38","16"
"8/31/2022","7","26","13"
"9/1/2022","2.6","29.14","9"
"9/2/2022","0.75","16","4.24"
"9/3/2022","2","23","7.73"
"9/4/2022","1.8","19.89","5.75"
"9/5/2022","2.33","13","5.5"
"9/6/2022","0.25","30.17","11.89"
"9/7/2022","1.43","45.92","4.3"
"9/8/2022","4","21.22","9.49"
"9/9/2022","1.25","20.6","9"
"9/10/2022","4.29","30.5","13.61"
"9/11/2022","4.8","42.59","15.5"
"9/12/2022","0.67","27.6","7.89"
"9/13/2022","0","18.2","3.19"
"9/14/2022","1.21","21","6.05"
"9/15/2022","4.09","28.82","9.47"
"9/16/2022","0","33.25","8.89"
"9/17/2022","4","51","14.2"
"9/18/2022","0","47.89","2.04"
"9/19/2022","0","11.44","0.56"
"9/20/2022","0","18.92","3.71"
"9/21/2022","2.67","43.25","8.6"
"9/22/2022","1.33","44","17"
"9/23/2022","1.75","44","8.27"
"9/24/2022","1.5","14.67","5.78"
"9/25/2022","3.67","26.8","13.5"
"9/26/2022","10.25","40.2","23.47"
"9/27/2022","15.89","67.8","34.5"
"9/28/2022","4.7","52.56","27.23"
"9/29/2022","6","56.88","35.33"
"9/30/2022","0","43.11","7.48"
"10/1/2022","4.21","153.19","10"
"10/2/2022","0.28","22.9","3.1"
"10/3/2022","1.7","28.73","2.67"
"10/4/2022","0.96","16.04","3.7"
"10/5/2022","2.31","25.57","6.77"
"10/6/2022","2.71","41.57","6.12"
"10/7/2022","2.52","29.2","7.32"
"10/8/2022","2.58","40.29","12.26"
"10/9/2022","5.3","25.88","16.82"
"10/10/2022","1.45","20.8","3.65"
"10/11/2022","1.92","57.62","6.06"
"10/12/2022","5.76","51.26","17.04"
"10/13/2022","2.54","65.81","16.43"
"10/14/2022","1.45","15.24","3.41"
"10/15/2022","1.93","31.19","7.04"
"10/16/2022","3.17","27.66","11.09"
"10/17/2022","3.03","74.31","20.23"
"10/18/2022","4.41","44.28","22.02"
"10/21/2022","2.43","37.45","5.91"
"10/22/2022","0.68","28.26","2.8"
"10/23/2022","0.25","29.91","13.83"
"10/24/2022","3.09","20.3","10.99"
"10/25/2022","7.33","34.34","18.07"
"10/26/2022","0.54","27.03","10.92"
"10/27/2022","5.09","29.17","12.1"
"10/28/2022","2.62","39.57","12.63"
"10/29/2022","0.88","35.17","11.72"
"10/30/2022","4.33","29.17","13.22"
"10/31/2022","2.43","36.24","14.99"
"11/1/2022","0.99","59.89","15.08"
"11/2/2022","0.6","39.79","22.86"
"11/3/2022","5.5","34.88","15.94"
"11/4/2022","3.51","44.6","14.7"
"11/5/2022","2.5","33.84","4.26"
"11/6/2022","2.65","17.73","10.99"
"11/7/2022","2.62","36.53","5.67"
"11/8/2022","2.78","127.26","27.69"
"11/9/2022","9.52","76.76","37.11"
"11/10/2022","11.5","72.54","26.11"
"11/11/2022","14.72","52.39","27.67"
"11/12/2022","5.34","44.98","25.44"
"11/13/2022","2.89","37.34","17.43"
"11/14/2022","1.89","34.29","9.38"
"11/15/2022","5.23","41.22","21.16"
"11/16/2022","8.36","40.81","21.9"
"11/17/2022","0.74","28.15","3.91"
"11/18/2022","3.35","29.67","8.69"
"11/19/2022","1.42","39.61","13.9"
"11/20/2022","3.42","29.07","13.65"
"11/21/2022","1.9","33.27","9.92"
"11/22/2022","3.47","111.18","41.81"
"11/23/2022","0.69","76","14.44"
"11/24/2022","2.67","25.33","4.59"
"11/25/2022","2","50.47","12.93"
"11/26/2022","2.62","27.21","9.02"
"11/27/2022","3.32","27","6.43"
"11/28/2022","1.39","54.44","4.57"
"11/29/2022","3.05","43.8","7.7"
"11/30/2022","4","37.11","6.54"
"12/1/2022","2.8","23.44","4.98"
"12/2/2022","2.99","23.5","4.71"
"12/3/2022","2.9","31.46","6.35"
"12/4/2022","2.87","39.24","5.65"
"12/5/2022","5.15","35.06","11.03"
"12/6/2022","8.15","10.69","9.28"
"12/7/2022","2.06","51","4.78"
"12/8/2022","16.01","46.94","27.41"
"12/9/2022","13.51","121.79","25.7"
"12/11/2022","1.63","35.1","9.73"
"12/12/2022","2.47","38.36","6.46"
"12/13/2022","6.25","61.83","21.77"
"12/14/2022","4.38","73.29","14.25"
"12/15/2022","2.87","42.59","12.9"
"12/16/2022","0","47.65","8.57"
"12/17/2022","0","43.41","19.75"
"12/18/2022","2.02","23.54","8.44"
"12/19/2022","6.84","37.94","9.61"
"12/20/2022","5.77","49.15","23.77"
"12/21/2022","4.49","39.71","14.36"
"12/22/2022","1.5","15.5","3.1"
"12/23/2022","11.14","56","29.77"
"12/24/2022","18.85","65.93","36.21"
"12/25/2022","16.8","73.66","29.37"
"12/26/2022","3.47","31.83","14"
"12/27/2022","1.66","49.15","12.95"
"12/28/2022","2.19","87.7","7.16"
"12/29/2022","2.86","33.11","11.81"
"12/30/2022","8.64","75.93","25.42"
"12/31/2022","28.62","78.89","38.02"
"1/1/2023","22.57","38.57","33.03"
"1/2/2023","21.11","36.83","29.82"
"1/3/2023","12.08","36.52","25.04"
"1/4/2023","3.42","38.04","16.09"
"1/5/2023","3.9","51","22.51"
"1/6/2023","2","18.7","4.43"
"1/7/2023","4.28","32.9","7.33"
"1/8/2023","2.36","22.92","6.32"
"1/9/2023","1.17","12.32","3.3"
"1/10/2023","3.26","28.8","5.58"
"1/11/2023","4.04","23.63","6.43"
"1/12/2023","4.25","22.29","6.77"
"1/13/2023","5.76","39.77","17.82"
"1/14/2023","5.91","41","16.17"
"1/15/2023","4.09","47.06","26.37"
"1/16/2023","2.8","19.82","5.18"
"1/17/2023","10.61","48.74","17.07"
"1/18/2023","1.33","27","5.15"
"1/19/2023","1.78","23.15","4.32"
"1/20/2023","3.34","44.62","15.85"
"1/21/2023","1.04","30.71","3.88"
"1/22/2023","5.86","45.91","14.03"
"1/23/2023","4.62","46.86","16.53"
"1/24/2023","4.62","54.87","22.62"
"1/25/2023","6.33","45.36","20.5"
"1/26/2023","11.82","39.72","20.6"
"1/27/2023","9.92","59.63","26.43"
"1/28/2023","25.85","68.15","32.14"
"1/29/2023","6.57","58.92","17.76"
"1/30/2023","8.94","51.16","21.1"
"1/31/2023","17.79","68.33","35.08"
"2/1/2023","6.55","42.5","19.34"
"2/2/2023","7.87","86.11","27.32"
"2/3/2023","3.7","103.71","32.33"
"2/4/2023","20.38","36.6","29.97"
"2/5/2023","7.18","29.64","11.38"
"2/6/2023","6.78","41.75","12.25"
"2/7/2023","12","39.38","22.77"
"2/8/2023","9.86","26.33","23.19"
"2/9/2023","26.01","97.95","43.45"
"2/10/2023","5.4","78.79","34.9"
"2/11/2023","18.62","71.2","32"
"2/12/2023","1.75","38.4","7.96"
"2/13/2023","4.44","39.94","10.31"
"2/14/2023","2.27","23.66","6.36"
"2/15/2023","3.08","35.42","5.93"
"2/16/2023","5.39","39.78","10.47"
"2/17/2023","5.99","113.92","29.15"
"2/18/2023","4.17","58.95","20.93"
"2/19/2023","0.66","37.28","6.94"
"2/20/2023","2.15","31.07","5.16"
"2/21/2023","0.82","13.47","3.47"
"2/22/2023","1.52","48.28","4.84"
"2/23/2023","5.31","38.13","11.34"
"2/24/2023","2.62","16.2","6.13"
"2/25/2023","4.22","69.16","23.99"
"2/26/2023","2.82","32.46","14.96"
"2/27/2023","3.47","50","16.21"
"2/28/2023","4.78","38.39","11.93"
"3/1/2023","5.09","36.25","19.18"
"3/2/2023","4.72","35.93","19.84"
"3/3/2023","9.58","46.94","26.16"
"3/4/2023","10.03","48.89","24.11"
"3/5/2023","1.89","40.97","18.1"
"3/6/2023","5.48","39.11","13.72"
"3/7/2023","16.57","42.66","26.69"
"3/8/2023","4.79","33.43","15.47"
"3/9/2023","8.67","24.86","13.86"
"3/10/2023","2.27","28.43","9.84"
"3/11/2023","0.56","32.47","13.37"
"3/12/2023","1.96","37.44","4.55"
"3/13/2023","3.63","30.85","7.63"
"3/14/2023","1.73","18.64","4.21"
"3/15/2023","0.86","28.23","4"
"3/16/2023","1.72","37.15","12.33"
"3/17/2023","2.91","25.53","6.47"
"3/18/2023","5.22","28.35","19.29"
"3/19/2023","5.35","32.81","16.42"
"3/20/2023","11.35","38.47","17.98"
"3/21/2023","10.56","33.47","18.92"
"3/22/2023","12.39","37.46","23.92"
"3/23/2023","4.11","35","20.35"
"3/24/2023","3.67","38.59","19.21"
"3/25/2023","1.03","19.85","7.81"
"3/26/2023","1.34","45.37","11.07"
"3/27/2023","1.59","33.27","4.13"
"3/28/2023","0.54","14.72","2.68"
"3/29/2023","2.14","26.12","5.94"
"3/30/2023","2.18","48.1","6.1"
"3/31/2023","3.26","30.56","11.85"
"4/1/2023","3.66","57.83","19.5"
"4/2/2023","0.19","16.52","5.92"
"4/3/2023","0.12","36.79","2.35"
"4/4/2023","1.51","20.39","9.39"
"4/5/2023","1.1","68.04","13.96"
"4/6/2023","0.62","24.74","3.29"
"4/7/2023","3.85","32.89","11.41"
"4/8/2023","3.29","27.74","10.18"
"4/9/2023","0.65","27.98","8.52"
"4/10/2023","0.85","28.89","12.8"
"4/11/2023","0.83","18.02","5.27"
"4/12/2023","0.97","16.39","3.55"
"4/13/2023","0.83","20.05","7.72"
"4/14/2023","0.74","44.49","10.49"
"4/15/2023","3.22","16.54","11.02"
"4/16/2023","1.23","33.03","5.22"
"4/17/2023","2.06","10.71","3.47"
"4/18/2023","0.95","26.74","5.41"
"4/19/2023","1.25","37.65","9.23"
"4/20/2023","0.39","30.97","2.38"
"4/21/2023","0.08","14.52","1.47"
"4/22/2023","0.62","22.17","7.98"
"4/23/2023","5.61","30.77","13.43"
"4/24/2023","5.55","39.69","13.69"
"4/25/2023","0.38","25.87","7.4"
"4/26/2023","0.19","66.73","5.01"
"4/27/2023","0.35","18.48","3.21"
"4/28/2023","1.63","6.58","2.82"
"4/29/2023","0.35","13.82","2.88"
"4/30/2023","0.56","36.77","3.15"
"5/1/2023","2.34","16.85","4.5"
"5/2/2023","1.7","11.29","4.44"
"5/3/2023","2.8","33.27","5.91"
"5/4/2023","1.84","39.32","3.85"
"5/5/2023","2.36","29.62","4.9"
"5/6/2023","1.45","9.11","3.57"
"5/7/2023","2.52","10.02","4.37"
"5/15/2023","5.04","28.41","8.01"
"5/16/2023","4.2","25.5","7.84"
"5/17/2023","0.63","22.98","7.84"
"5/18/2023","1.18","28.24","10.49"
"5/19/2023","4.01","30.14","10.03"
"5/20/2023","4.18","20.39","10.4"
"5/21/2023","5.03","17.55","8.75"
"5/22/2023","1.37","15.12","5.62"
"5/23/2023","0.5","16.63","5.91"
"5/24/2023","0.89","18.72","7.29"
"5/25/2023","0.27","16.16","4.23"
"5/26/2023","0.28","33.61","7.15"
"5/27/2023","0.32","18.09","4.67"
"5/28/2023","0.37","26.63","8.64"
"5/29/2023","0.93","18.03","8.82"
"5/30/2023","2.27","12.08","6.83"
"5/31/2023","1.63","15.31","6.74"
"6/1/2023","2.63","14.43","6.42"
"6/2/2023","4.47","37.79","7.25"
"6/3/2023","1.79","21.08","5.13"
"6/4/2023","1.49","8.08","2.44"
"6/5/2023","1.77","42.67","3.49"
"6/6/2023","0.8","16.82","5.21"
"6/7/2023","3.77","16.35","7.72"
"6/8/2023","0.94","25.62","12.49"
"6/9/2023","0.25","32.85","9.91"
"6/10/2023","1.24","23.01","8.31"
"6/11/2023","0.25","15.67","6.46"
"6/12/2023","0.3","10.29","2.99"
"6/13/2023","0.36","18.16","8.14"
"6/14/2023","5.79","23.73","9.81"
"6/15/2023","3.54","18.98","9.3"
"6/16/2023","3.6","17.38","9.59"
"6/17/2023","5.25","21.92","8.9"
"6/18/2023","5.25","26.18","9.42"
"6/19/2023","4.05","18.48","9.61"
"6/20/2023","4.54","19.11","9.16"
"6/21/2023","3.32","24.84","9.63"
"6/22/2023","5.88","18.05","11.74"
"6/23/2023","5.22","17.39","10.45"
"6/24/2023","5.04","17.12","9.99"
"6/25/2023","2.17","42.95","9.09"
"6/26/2023","4.49","36.18","9.11"
"6/27/2023","3.94","13.3","6.4"
"6/28/2023","0.26","14.2","4.88"
"6/29/2023","0.42","16.46","4.69"
"6/30/2023","2.14","15.04","7.14"
"7/1/2023","3.4","17.48","9.19"
"7/2/2023","0.37","16.36","6.36"
"7/3/2023","0.6","15.28","6.72"
"7/4/2023","0.44","16.61","8.68"
"7/5/2023","1.49","24.41","10.89"
"7/6/2023","7.22","18.3","10.63"
"7/7/2023","1.15","16.3","8.68"
"7/8/2023","0.34","15.31","3.38"
"7/9/2023","0.31","26.88","4.59"
"7/10/2023","2.99","8.68","4.55"
"7/11/2023","0.37","21.81","4.18"
"7/12/2023","0.3","25.14","4.8"
"7/13/2023","0.38","21.2","7.69"
"7/14/2023","3.78","27.83","8.24"
"7/15/2023","2.06","22.49","7.88"
"7/16/2023","5.36","15.63","8.34"
"7/17/2023","5.29","17.52","10.03"
"7/18/2023","3.2","18.75","11.14"
"7/19/2023","4.2","27.8","9.94"
"7/20/2023","0.48","19.66","8.11"
"7/21/2023","2.12","40.64","7.25"
"7/22/2023","0.51","17.95","6.44"
"7/23/2023","3.89","25.62","9.73"
"7/24/2023","0.35","31.53","9.61"
"7/25/2023","0.4","17.89","4.76"
"7/26/2023","2.39","20.6","7.33"
"7/27/2023","0.32","13.28","2.49"
"7/28/2023","0.41","21.13","3.84"
"7/29/2023","0.62","16.1","6.69"
"7/30/2023","0.52","23.73","4.86"
"7/31/2023","0.3","38.14","4.23"
"8/1/2023","1.66","15.05","7.59"
"8/2/2023","0.24","22.15","5.04"
"8/3/2023","3.27","39.36","8.69"
"8/4/2023","1.06","37.52","9.94"
"8/5/2023","3.85","19.8","11.29"
"8/6/2023","1.34","25.56","10.39"
"8/7/2023","0.55","17.55","3.62"
"8/8/2023","0.24","14.74","5.25"
"8/9/2023","0.26","12.93","4.55"
"8/10/2023","1.53","16.52","4.86"
"8/11/2023","0.87","12.7","5.5"
"8/12/2023","4.15","17.39","9.53"
"8/13/2023","6.61","23.21","11.32"
"8/14/2023","6.25","23.97","11.75"
"8/15/2023","7.54","17.07","12.36"
"8/16/2023","4.99","18.34","10.87"
"8/17/2023","2.98","18.71","12.8"
"8/18/2023","7.4","24.19","12.35"
"8/19/2023","3.76","19.86","13.18"
"8/20/2023","5.37","22.22","11.92"
"8/21/2023","8.02","47.31","13.05"
"8/22/2023","5.03","18.26","11.19"
"8/23/2023","3.98","18.53","7.82"
"8/24/2023","1.06","29.77","8.48"
"8/25/2023","1.25","22.25","7.86"
"8/26/2023","0.87","18.76","7.62"
"8/27/2023","3.63","16.5","9.74"
"8/28/2023","8.25","16.3","11.1"
"8/29/2023","2.62","19.6","12.44"
"8/30/2023","1.62","28.23","4.72"
"8/31/2023","1.07","16.75","6.86"
"9/1/2023","2.64","21.06","8.23"
"9/2/2023","0.5","24.37","6.65"
"9/3/2023","0.91","17.19","8.24"
"9/4/2023","0.41","17.77","6.03"
"9/5/2023","3","17.07","10.65"
"9/6/2023","4.04","21.99","7.82"
"9/7/2023","2.42","16.71","6.73"
"9/8/2023","2.04","19.29","4.17"
"9/9/2023","1.83","8.71","4.3"
"9/10/2023","2.37","16.23","4.47"
"9/18/2023","1.62","55.11","13.08"
"9/19/2023","3.67","27.46","9.8"
"9/20/2023","1.88","64.84","5.45"
"9/21/2023","0.43","15.41","6.66"
"9/22/2023","3.45","29.03","8.08"
"9/23/2023","1.3","47.74","7.77"
"9/24/2023","1.45","53.24","9.53"
"9/25/2023","4.68","24.87","8.94"
"9/26/2023","2.48","29.39","12.5"
"9/27/2023","4.54","17.47","9.6"
"9/28/2023","0.56","97.76","9.67"
"9/29/2023","5.33","21.2","8.61"
"9/30/2023","5.62","63.48","11.35"
"10/1/2023","3.08","29.68","9.51"
"10/2/2023","1.96","15","3.4"
"10/3/2023","3.33","18.57","5.52"
"10/4/2023","1.38","15.93","5.65"
"10/5/2023","0.79","15.19","3.75"
"10/6/2023","0.4","14.73","3.44"
"10/7/2023","1.81","12.89","4.79"
"10/8/2023","0.21","8.27","2.29"
"10/9/2023","0","11.38","2.29"
"10/10/2023","1.01","29.58","3.81"
"10/11/2023","1","18.18","3.45"
"10/12/2023","0.31","11.85","2.22"
"10/13/2023","0.39","61.13","7.75"
"10/14/2023","0.26","35.52","5.88"
"10/15/2023","0.25","10.29","1.1"
"10/16/2023","0.24","10.59","2.27"
"10/17/2023","1.12","18.68","3.49"
"10/18/2023","1.88","29.64","4.33"
"10/19/2023","0.74","17.22","1.96"
"10/20/2023","0.39","15.4","4.41"
"10/21/2023","4.24","28.59","9.77"
"10/22/2023","0.85","23.6","7.77"
"10/23/2023","1.9","26.65","4.73"
"10/24/2023","0.33","21.72","5.18"
"10/25/2023","0.28","27.83","4.11"
"10/26/2023","0.45","15.95","3.8"
"10/27/2023","0.43","13.8","3.05"
"10/28/2023","0.99","112.75","2.9"
"10/29/2023","0.64","31.67","4.33"
"10/30/2023","0.27","11.15","1.31"
"10/31/2023","0.28","13.38","3.77"
"11/1/2023","0.2","17.87","6.78"
"11/2/2023","1.75","27.29","3.64"
"11/3/2023","0.31","12.44","2.66"
"11/4/2023","0.43","11.5","3.1"
"11/5/2023","0.35","10.6","1.37"
"11/6/2023","0.28","13.23","2.25"
"11/7/2023","0.28","22.84","2.87"
"11/8/2023","0.28","12.59","1.55"
"11/9/2023","0.6","82.84","6.26"
"11/10/2023","0.35","85.91","2.97"
"11/11/2023","0.28","17.79","4.78"
"11/12/2023","0.13","7.44","1.04"
"11/13/2023","0.65","77.17","7.92"
"11/14/2023","2.6","44.15","9.77"
"11/15/2023","0.86","47.52","23.49"
"11/16/2023","0.8","15.68","3.67"
"11/17/2023","1.33","26","3.37"
"11/18/2023","0.69","20.8","4.15"
"11/19/2023","3.21","21.7","5.51"
"11/20/2023","2.73","30.37","9.15"
"11/21/2023","1.52","34.9","5.77"
"11/22/2023","4.88","24.77","11.08"
"11/23/2023","4.22","23.88","14.68"
"11/24/2023","2.64","30.63","14.7"
"11/25/2023","0.82","35.04","3.1"
"11/26/2023","0.88","142","5.04"
"11/27/2023","1.75","26.21","5.58"
"11/28/2023","0.25","53.01","2.23"
"11/29/2023","0","45.88","20.39"
"11/30/2023","1.61","43.65","11.04"
"12/1/2023","1.3","26.09","5.31"
"12/2/2023","0.6","45.01","6.47"
"12/3/2023","0.21","24.98","7.58"
"12/4/2023","4.65","64.19","13.56"
"12/5/2023","3.22","78.08","7.43"
"12/6/2023","2.31","21.36","6.24"
"12/7/2023","1.93","13.4","5.73"
"12/8/2023","1.53","21.51","3.65"
"12/9/2023","3.01","24.09","7.52"
"12/10/2023","1.6","48.44","17.35"
"12/11/2023","0.77","35.36","16.19"
"12/12/2023","2.2","69.5","23.7"
"12/13/2023","0","46.5","13.39"
"12/14/2023","1.4","44.04","10.61"
"12/15/2023","1.12","21.41","4.59"
"12/16/2023","2.5","33.65","8.6"
"12/17/2023","2.93","30.13","7.43"
"12/18/2023","1.86","26.5","6.95"
"12/19/2023","2.58","35.02","15.58"
"12/20/2023","1.51","31.75","15.47"
"12/21/2023","2.17","52.65","24.53"
"12/22/2023","2.38","38","11.92"
"12/23/2023","1.38","26.21","4.49"
"12/24/2023","1.85","34.6","4.34"
"12/25/2023","2.02","24.64","4.03"
"12/26/2023","1.72","23.12","5.78"
"12/27/2023","0.89","26.25","4.05"
"12/28/2023","0.8","30.54","6.35"
"12/29/2023","3.19","41.94","16.12"
"12/30/2023","8.11","60.12","35.11"
"12/31/2023","3.01","45.86","26.51"
"1/1/2024","8.25","29.8","21.54"
"1/2/2024","3.34","33.6","11.89"
"1/3/2024","1.17","33.35","6.33"
"1/4/2024","1.8","38.54","10.05"
"1/5/2024","0.82","46.46","7.58"
"1/6/2024","0.47","16.32","2.47"
"1/7/2024","0.56","28.59","3.47"
"1/8/2024","2.29","30.98","5.09"
"1/9/2024","0","36.47","7.8"
"1/10/2024","0","35.69","8.65"
"1/11/2024","0.71","35.94","10.87"
"1/12/2024","0","49.38","8.99"
"1/13/2024","1","46.87","10.34"
"1/14/2024","2.38","62.47","25.03"
"1/29/2024","3.87","41.53","16.27"
"1/30/2024","2.34","69.25","22.68"
"1/31/2024","2.31","69","21.64"
"2/1/2024","2.34","41.31","30.39"
"2/2/2024","1.97","37.11","8.68"
"2/3/2024","1.23","45.33","7.18"
"2/4/2024","0.36","11.57","2.66"
"2/5/2024","0.17","24.87","1.84"
"2/6/2024","0.28","36.27","4.28"
"2/7/2024","2.5","41.72","19.48"
"2/8/2024","0.66","24.53","5.14"
"2/9/2024","0.84","25.75","14.32"
"2/10/2024","1.04","41.61","15.82"
"2/11/2024","0.91","17.61","5.56"
"2/12/2024","0.26","9.69","1.75"
"2/13/2024","0.19","34.94","3.03"
"2/14/2024","0.82","49.69","4.49"
"2/15/2024","1.63","55","4.86"
"2/16/2024","2.02","39.89","11.83"
"2/17/2024","2.25","51","22.71"
"2/18/2024","0.64","38.47","11.85"
"2/19/2024","1.11","19.1","4.7"
"2/20/2024","3.78","28.41","7.55"
"2/21/2024","2.82","34.88","7.87"
"2/22/2024","0.71","33.71","2.89"
"2/23/2024","0.78","23.3","10.16"
"2/24/2024","1.03","11.35","2.79"
"2/25/2024","1.01","10.19","2.7"
"2/26/2024","1.17","17.73","3.41"
"2/27/2024","1.79","23.22","3.78"
"2/28/2024","1.38","16.3","3.56"
"2/29/2024","3.1","87.11","12.69"
"3/1/2024","3.66","30.03","13.87"
"3/2/2024","3.85","31.79","16.82"
"3/3/2024","3.21","46.31","23.12"
"3/4/2024","6.21","44.39","17.7"
"3/5/2024","4.72","34.76","14.41"
"3/6/2024","5.81","31.06","19.04"
"3/7/2024","12.26","29.11","18.86"
"3/8/2024","8.56","37.11","18.32"
"3/9/2024","6.57","34.35","22.3"
"3/10/2024","4.86","35.47","14.8"
"3/11/2024","5.04","30.25","14.32"
"3/12/2024","4.97","27.44","14.32"
"3/13/2024","3.27","40.69","7.46"
"3/14/2024","2.89","31.79","17.59"
"3/15/2024","1.83","25.39","7.47"
"3/16/2024","1.12","35.88","14.27"
"3/17/2024","0.59","32.5","12.57"
"3/18/2024","0.31","34.15","11.73"
"3/19/2024","1.23","32.28","3.99"
"3/20/2024","0.71","20.95","2.98"
"3/21/2024","1.55","46.96","5.38"
"3/22/2024","3.98","37.45","19.88"
"3/23/2024","1.64","31.02","14.29"
"3/24/2024","0.94","37.25","4.96"
"3/25/2024","0","35.13","4.65"
"3/26/2024","0","67.73","2.08"
"3/27/2024","0.48","39.72","4.49"
"3/28/2024","0.46","18.2","1.63"
"3/29/2024","0.64","37.79","2.89"
"3/30/2024","0.3","37.83","3.44"
"3/31/2024","0.31","15.81","4.34"
"4/1/2024","0.98","22.12","7.76"
"4/2/2024","0.81","12.91","3.59"
"4/3/2024","1.19","8.73","2.15"
"4/4/2024","0.76","12.18","3.24"
"4/5/2024","0.43","30.11","3.63"
"4/6/2024","0.24","34.52","10.58"
"4/7/2024","0.33","45.06","5.65"
"4/8/2024","2.48","31.29","6.58"
"4/9/2024","2.91","85.04","9.76"
"4/10/2024","5.34","54.52","11.49"
"4/11/2024","6.91","54.03","11.75"
"4/12/2024","0.32","23.25","4.43"
"4/13/2024","0.66","46","6.98"
"4/14/2024","0.2","18.78","7.2"
"4/15/2024","1.13","20.89","6.97"
"4/16/2024","1.96","19.11","9.53"
"4/17/2024","0.36","16.21","7"
"4/18/2024","0.07","16.29","0.63"
"4/19/2024","0.3","16.55","3.52"
"4/20/2024","0.13","43.84","3.49"
"4/21/2024","0","126.8","1.58"
"4/22/2024","0.21","28.89","1.43"
"4/23/2024","0.28","203.89","1.96"
"4/24/2024","0","149.71","14.75"
"4/25/2024","0.34","158.8","15.27"
"4/26/2024","0.73","126.64","20.13"
"4/27/2024","0.46","106.29","9.24"
"4/28/2024","0.25","167.6","33.65"
"4/29/2024","1.86","134.15","37.88"
"4/30/2024","2.52","175.14","37.92"
"5/1/2024","0.53","184.13","31.99"
"5/2/2024","0","155.72","28.5"
"5/3/2024","0","417","10.97"
"5/4/2024","0","180.29","5.16"
"5/5/2024","0","160.9","4.99"
"5/6/2024","0","181.68","3.17"
"5/7/2024","0","126.16","1.42"
"5/8/2024","0","92.93","2.56"
"5/9/2024","0.44","100.75","3.8"
